long_hair,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,gender
1,13.04_13.86,6.7_7.1,1,1,1,0,Male
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,1,0,0,Female
1,11.4_12.22,5.9_6.3,1,0,1,1,Male
0,13.86_14.68,6.7_7.1,0,1,1,1,Male
0,13.86_14.68,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
0,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,13.86_14.68,6.3_6.7,1,0,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,0,1,Male
1,13.86_14.68,6.3_6.7,1,0,0,0,Female
0,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
0,14.68_15.5,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,0,1,0,0,Female
1,11.4_12.22,5.5_5.9,1,1,1,1,Male
1,13.86_14.68,5.9_6.3,1,1,0,1,Male
1,11.4_12.22,6.3_6.7,1,0,0,0,Female
1,11.4_12.22,5.9_6.3,1,1,1,1,Male
0,13.04_13.86,5.1_5.5,0,1,0,1,Male
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,0,0,1,0,Female
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,1,Female
1,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,12.22_13.04,5.5_5.9,1,1,1,1,Male
0,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,0,1,0,1,Male
1,13.04_13.86,5.1_5.5,0,0,1,0,Female
0,12.22_13.04,6.7_7.1,0,1,1,1,Male
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,1,1,0,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
0,12.22_13.04,5.5_5.9,0,1,0,0,Female
1,11.4_12.22,6.3_6.7,1,0,1,1,Male
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
0,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,13.86_14.68,5.9_6.3,0,1,1,1,Male
1,14.68_15.5,6.7_7.1,1,1,1,1,Male
0,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,12.22_13.04,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,6.7_7.1,1,1,0,1,Male
1,13.04_13.86,6.3_6.7,0,1,1,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,1,Female
1,11.4_12.22,5.9_6.3,1,0,0,0,Female
1,13.04_13.86,5.5_5.9,1,1,0,1,Male
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
0,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,1,0,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,6.3_6.7,0,0,0,1,Female
1,11.4_12.22,6.7_7.1,1,1,1,0,Male
0,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,1,0,0,0,Female
1,13.86_14.68,5.1_5.5,1,1,1,1,Male
0,13.86_14.68,5.5_5.9,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
0,13.04_13.86,5.9_6.3,1,0,1,0,Female
1,13.86_14.68,6.7_7.1,1,0,1,1,Male
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,1,0,0,Female
0,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,1,1,Male
1,13.86_14.68,5.9_6.3,1,0,1,1,Male
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
1,13.86_14.68,5.9_6.3,0,0,1,0,Female
1,13.86_14.68,5.1_5.5,1,0,0,1,Female
1,14.68_15.5,6.7_7.1,1,1,0,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,1,1,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,6.3_6.7,0,0,0,0,Female
1,12.22_13.04,5.9_6.3,0,0,1,1,Female
1,13.04_13.86,5.5_5.9,1,0,0,1,Male
1,13.04_13.86,5.5_5.9,1,0,1,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,1,1,1,Male
0,13.86_14.68,6.3_6.7,1,0,0,1,Male
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,13.86_14.68,5.5_5.9,1,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,1,0,0,Female
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
1,14.68_15.5,5.5_5.9,0,1,0,0,Male
0,13.04_13.86,5.5_5.9,0,1,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,0,1,1,0,Female
1,11.4_12.22,5.1_5.5,1,0,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,1,0,Female
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,1,1,0,0,Male
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,1,0,0,0,Female
1,11.4_12.22,5.9_6.3,1,1,1,0,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,12.22_13.04,5.9_6.3,0,1,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,1,0,Female
0,13.86_14.68,5.5_5.9,1,1,1,0,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,14.68_15.5,6.3_6.7,1,1,1,0,Male
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,0,0,0,0,Female
1,13.86_14.68,5.5_5.9,0,0,0,1,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,13.86_14.68,5.9_6.3,1,1,0,1,Male
1,13.04_13.86,5.9_6.3,0,1,1,0,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,1,1,0,Female
1,13.04_13.86,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,6.7_7.1,1,0,1,1,Male
1,13.86_14.68,5.9_6.3,0,1,0,0,Female
1,11.4_12.22,5.9_6.3,1,0,0,1,Male
1,14.68_15.5,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,6.7_7.1,0,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,1,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
0,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,0,1,0,Female
1,13.04_13.86,5.5_5.9,0,1,0,1,Female
1,13.04_13.86,5.1_5.5,1,1,1,0,Female
0,13.86_14.68,5.9_6.3,0,1,0,0,Female
1,12.22_13.04,6.7_7.1,0,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,1,1,1,Male
0,12.22_13.04,5.9_6.3,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,1,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
0,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,13.86_14.68,6.3_6.7,1,0,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,1,0,0,Female
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,1,0,1,Male
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,1,1,0,1,Male
1,13.04_13.86,5.1_5.5,0,1,0,0,Female
1,12.22_13.04,6.3_6.7,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,1,1,1,Male
1,13.04_13.86,5.9_6.3,1,0,1,1,Male
1,13.86_14.68,5.9_6.3,0,1,1,1,Male
1,13.04_13.86,5.1_5.5,1,1,1,1,Male
1,14.68_15.5,6.3_6.7,1,1,1,0,Male
1,11.4_12.22,5.1_5.5,1,0,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,1,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.5_5.9,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,1,1,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,1,1,1,1,Male
1,14.68_15.5,5.9_6.3,1,1,0,1,Male
1,11.4_12.22,5.9_6.3,1,0,0,0,Female
1,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,0,1,0,0,Female
0,13.04_13.86,6.7_7.1,1,1,0,1,Male
1,13.86_14.68,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,1,1,1,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,0,1,Male
1,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,13.86_14.68,5.5_5.9,1,1,0,1,Male
1,13.86_14.68,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,1,1,1,0,Male
0,13.86_14.68,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,6.7_7.1,1,1,0,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,1,0,0,0,Female
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,0,1,0,1,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,14.68_15.5,5.9_6.3,1,1,0,1,Male
0,14.68_15.5,6.7_7.1,1,1,1,1,Male
1,13.86_14.68,6.7_7.1,1,1,1,0,Male
0,11.4_12.22,5.9_6.3,0,0,0,0,Female
0,13.04_13.86,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,1,1,0,1,Female
0,11.4_12.22,6.7_7.1,1,0,1,1,Male
1,13.04_13.86,5.1_5.5,1,0,0,0,Female
1,14.68_15.5,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,1,0,1,Female
0,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,0,1,1,1,Male
1,13.04_13.86,5.9_6.3,1,1,1,1,Male
1,13.04_13.86,6.3_6.7,1,0,1,1,Male
1,13.86_14.68,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,1,1,1,Male
1,13.04_13.86,5.9_6.3,1,1,1,1,Male
1,13.86_14.68,6.7_7.1,1,1,1,0,Male
0,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,14.68_15.5,6.3_6.7,0,1,1,0,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
0,13.04_13.86,6.7_7.1,0,1,0,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,1,Female
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,6.3_6.7,1,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,1,0,0,Female
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,13.86_14.68,5.5_5.9,0,0,0,1,Female
1,11.4_12.22,6.3_6.7,0,0,1,0,Female
1,11.4_12.22,5.1_5.5,1,1,0,1,Male
1,13.86_14.68,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,1,Female
1,11.4_12.22,6.7_7.1,1,1,0,1,Male
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,14.68_15.5,6.3_6.7,1,1,1,0,Male
1,11.4_12.22,6.3_6.7,0,1,1,0,Female
1,12.22_13.04,6.3_6.7,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,0,1,0,Female
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,6.3_6.7,1,0,0,0,Female
1,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,1,Female
0,13.86_14.68,6.3_6.7,1,1,1,1,Male
0,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
0,11.4_12.22,5.5_5.9,1,0,0,0,Female
1,12.22_13.04,5.9_6.3,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,0,0,1,Female
1,11.4_12.22,6.7_7.1,0,1,1,0,Male
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
1,13.86_14.68,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,1,0,Female
0,13.86_14.68,5.5_5.9,1,1,1,1,Male
1,14.68_15.5,6.3_6.7,1,1,1,1,Male
0,13.04_13.86,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,1,1,0,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,1,0,0,1,Female
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,1,0,0,0,Female
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,1,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.9_6.3,0,0,0,1,Female
0,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,6.7_7.1,1,1,1,1,Male
0,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,14.68_15.5,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,6.3_6.7,0,0,0,0,Female
0,12.22_13.04,5.1_5.5,0,0,0,1,Female
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.5_5.9,0,1,0,0,Female
0,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,13.04_13.86,6.3_6.7,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,1,0,0,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,1,Female
1,13.04_13.86,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,1,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,0,1,0,0,Female
0,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.9_6.3,1,1,1,1,Male
1,13.86_14.68,5.5_5.9,1,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.5_5.9,0,1,1,1,Male
0,13.04_13.86,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,1,Female
1,13.86_14.68,6.3_6.7,0,0,0,0,Female
1,13.04_13.86,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,1,1,1,0,Male
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,13.86_14.68,6.3_6.7,0,0,0,0,Female
1,13.86_14.68,5.5_5.9,1,0,0,0,Female
1,13.86_14.68,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,14.68_15.5,5.5_5.9,1,1,1,1,Male
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.5_5.9,0,0,1,0,Female
1,14.68_15.5,5.9_6.3,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,13.86_14.68,6.3_6.7,0,0,0,0,Female
1,13.86_14.68,6.7_7.1,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,6.3_6.7,1,1,0,1,Male
1,11.4_12.22,5.5_5.9,0,1,0,0,Female
1,12.22_13.04,5.1_5.5,1,0,0,0,Female
1,13.04_13.86,5.5_5.9,1,1,1,1,Male
0,11.4_12.22,5.1_5.5,1,1,1,0,Male
0,12.22_13.04,6.3_6.7,0,0,1,1,Male
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.04_13.86,5.5_5.9,1,1,1,0,Male
1,13.04_13.86,5.1_5.5,0,1,1,1,Male
1,13.86_14.68,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
0,13.04_13.86,5.9_6.3,0,0,0,0,Female
1,13.86_14.68,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,6.3_6.7,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,14.68_15.5,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,1,0,1,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,14.68_15.5,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
0,13.04_13.86,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
0,12.22_13.04,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,13.86_14.68,5.9_6.3,0,1,1,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
0,13.86_14.68,6.3_6.7,0,0,0,1,Female
1,12.22_13.04,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,6.3_6.7,0,0,0,0,Female
0,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
0,13.86_14.68,5.1_5.5,1,1,0,1,Male
1,13.04_13.86,5.5_5.9,0,1,1,0,Male
1,13.04_13.86,6.3_6.7,1,1,1,1,Male
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
0,12.22_13.04,6.7_7.1,1,1,0,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
0,12.22_13.04,5.9_6.3,1,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,0,1,1,1,Male
1,13.04_13.86,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,0,0,1,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,1,Female
0,13.04_13.86,5.5_5.9,1,0,0,0,Female
1,11.4_12.22,6.3_6.7,1,0,0,0,Female
0,12.22_13.04,6.7_7.1,1,0,1,1,Male
1,12.22_13.04,6.7_7.1,0,1,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,0,1,Male
1,12.22_13.04,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,6.7_7.1,0,1,0,1,Male
1,13.04_13.86,5.1_5.5,1,1,0,1,Male
1,13.04_13.86,5.1_5.5,1,0,0,0,Female
1,12.22_13.04,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
0,14.68_15.5,5.9_6.3,1,0,1,1,Male
1,14.68_15.5,5.5_5.9,1,1,0,1,Male
1,13.04_13.86,6.3_6.7,0,1,0,0,Female
1,11.4_12.22,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,1,0,0,0,Female
0,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,1,1,1,0,Male
0,12.22_13.04,5.5_5.9,0,0,0,1,Female
1,13.04_13.86,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,1,0,0,Female
1,12.22_13.04,5.1_5.5,0,1,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,0,0,Female
0,11.4_12.22,5.9_6.3,1,0,1,0,Male
1,13.86_14.68,5.1_5.5,1,1,1,1,Male
0,11.4_12.22,5.1_5.5,1,0,0,0,Female
1,11.4_12.22,5.1_5.5,0,0,1,0,Female
0,14.68_15.5,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
0,13.04_13.86,5.1_5.5,0,1,0,0,Female
1,11.4_12.22,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,1,1,1,0,Male
0,14.68_15.5,6.7_7.1,1,1,1,1,Male
1,14.68_15.5,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,6.7_7.1,1,0,1,1,Male
1,12.22_13.04,5.9_6.3,0,1,0,0,Female
1,13.04_13.86,5.1_5.5,0,1,1,0,Female
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,13.86_14.68,5.1_5.5,1,1,1,0,Male
1,13.04_13.86,5.1_5.5,0,1,1,1,Male
1,11.4_12.22,6.3_6.7,0,0,1,0,Female
1,12.22_13.04,5.5_5.9,0,0,0,1,Female
1,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,12.22_13.04,5.9_6.3,0,0,1,1,Female
1,12.22_13.04,5.1_5.5,0,0,1,1,Male
1,13.86_14.68,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
1,14.68_15.5,6.7_7.1,1,1,1,1,Male
1,14.68_15.5,6.7_7.1,1,1,1,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
0,11.4_12.22,6.7_7.1,1,1,1,1,Male
1,13.04_13.86,5.5_5.9,0,0,1,1,Female
1,13.04_13.86,5.1_5.5,0,1,0,0,Female
1,14.68_15.5,5.9_6.3,1,0,1,1,Male
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,12.22_13.04,5.9_6.3,0,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,1,1,1,Male
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,5.5_5.9,0,1,0,1,Female
1,11.4_12.22,5.1_5.5,1,0,0,0,Female
1,12.22_13.04,6.3_6.7,0,0,0,1,Female
1,14.68_15.5,6.7_7.1,0,1,1,1,Male
1,13.04_13.86,5.9_6.3,0,0,0,0,Female
0,11.4_12.22,5.5_5.9,1,0,1,1,Male
1,12.22_13.04,6.7_7.1,1,1,1,0,Male
1,13.04_13.86,5.1_5.5,0,1,0,0,Female
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,1,0,0,0,Female
0,12.22_13.04,5.1_5.5,1,1,1,0,Male
1,11.4_12.22,6.7_7.1,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,0,0,1,Female
1,14.68_15.5,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,14.68_15.5,5.1_5.5,0,1,0,1,Male
1,11.4_12.22,5.5_5.9,0,1,1,0,Female
1,13.04_13.86,5.9_6.3,1,1,1,1,Male
1,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,12.22_13.04,6.3_6.7,0,1,0,0,Female
1,12.22_13.04,5.1_5.5,1,0,0,0,Female
0,12.22_13.04,5.1_5.5,1,1,1,1,Male
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
1,13.86_14.68,5.9_6.3,0,1,0,0,Female
1,12.22_13.04,6.3_6.7,0,0,0,1,Female
1,14.68_15.5,5.5_5.9,1,1,1,1,Male
1,13.86_14.68,6.3_6.7,0,0,0,0,Female
1,13.04_13.86,5.5_5.9,0,0,0,0,Female
1,13.04_13.86,6.7_7.1,1,1,1,0,Male
1,12.22_13.04,5.5_5.9,1,0,1,1,Male
1,12.22_13.04,5.5_5.9,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,0,0,0,Female
1,13.04_13.86,5.1_5.5,0,0,0,0,Female
1,13.86_14.68,6.7_7.1,1,1,1,0,Male
1,11.4_12.22,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.1_5.5,0,1,0,0,Female
1,13.86_14.68,5.5_5.9,0,0,0,0,Female
1,11.4_12.22,5.9_6.3,0,0,0,0,Female
1,11.4_12.22,5.5_5.9,0,0,0,0,Female
1,13.86_14.68,6.3_6.7,1,1,1,1,Male
1,13.86_14.68,5.1_5.5,0,1,1,0,Male
1,13.86_14.68,6.3_6.7,1,0,0,1,Female
1,11.4_12.22,5.1_5.5,1,1,1,1,Male
1,11.4_12.22,6.3_6.7,1,0,1,1,Male
1,12.22_13.04,5.1_5.5,0,0,0,0,Female
0,14.68_15.5,6.3_6.7,1,1,1,1,Male
1,11.4_12.22,5.5_5.9,1,1,1,1,Male
1,14.68_15.5,5.9_6.3,0,1,1,1,Male
